Unnamed: 0,datetime,state,consumption
0,2023-07-01 00:00:00,home,0.0
1,2023-07-01 00:15:00,home,0.0
2,2023-07-01 00:30:00,home,0.0
3,2023-07-01 00:45:00,home,0.0
4,2023-07-01 01:00:00,home,0.0
5,2023-07-01 01:15:00,home,0.0
6,2023-07-01 01:30:00,home,0.0
7,2023-07-01 01:45:00,home,0.0
8,2023-07-01 02:00:00,home,0.0
9,2023-07-01 02:15:00,home,0.0
10,2023-07-01 02:30:00,home,0.0
11,2023-07-01 02:45:00,home,0.0
12,2023-07-01 03:00:00,home,0.0
13,2023-07-01 03:15:00,home,0.0
14,2023-07-01 03:30:00,home,0.0
15,2023-07-01 03:45:00,home,0.0
16,2023-07-01 04:00:00,home,0.0
17,2023-07-01 04:15:00,home,0.0
18,2023-07-01 04:30:00,home,0.0
19,2023-07-01 04:45:00,home,0.0
20,2023-07-01 05:00:00,home,0.0
21,2023-07-01 05:15:00,home,0.0
22,2023-07-01 05:30:00,home,0.0
23,2023-07-01 05:45:00,home,0.0
24,2023-07-01 06:00:00,home,0.0
25,2023-07-01 06:15:00,home,0.0
26,2023-07-01 06:30:00,home,0.0
27,2023-07-01 06:45:00,home,0.0
28,2023-07-01 07:00:00,home,0.0
29,2023-07-01 07:15:00,home,0.0
30,2023-07-01 07:30:00,home,0.0
31,2023-07-01 07:45:00,home,0.0
32,2023-07-01 08:00:00,home,0.0
33,2023-07-01 08:15:00,home,0.0
34,2023-07-01 08:30:00,home,0.0
35,2023-07-01 08:45:00,home,0.0
36,2023-07-01 09:00:00,home,0.0
37,2023-07-01 09:15:00,home,0.0
38,2023-07-01 09:30:00,home,0.0
39,2023-07-01 09:45:00,home,0.0
40,2023-07-01 10:00:00,home,0.0
41,2023-07-01 10:15:00,home,0.0
42,2023-07-01 10:30:00,home,0.0
43,2023-07-01 10:45:00,home,0.0
44,2023-07-01 11:00:00,home,0.0
45,2023-07-01 11:15:00,home,0.0
46,2023-07-01 11:30:00,home,0.0
47,2023-07-01 11:45:00,home,0.0
48,2023-07-01 12:00:00,home,0.0
49,2023-07-01 12:15:00,home,0.0
50,2023-07-01 12:30:00,home,0.0
51,2023-07-01 12:45:00,home,0.0
52,2023-07-01 13:00:00,home,0.0
53,2023-07-01 13:15:00,home,0.0
54,2023-07-01 13:30:00,home,0.0
55,2023-07-01 13:45:00,home,0.0
56,2023-07-01 14:00:00,home,0.0
57,2023-07-01 14:15:00,home,0.0
58,2023-07-01 14:30:00,home,0.0
59,2023-07-01 14:45:00,home,0.0
60,2023-07-01 15:00:00,home,0.0
61,2023-07-01 15:15:00,home,0.0
62,2023-07-01 15:30:00,home,0.0
63,2023-07-01 15:45:00,home,0.0
64,2023-07-01 16:00:00,home,0.0
65,2023-07-01 16:15:00,home,0.0
66,2023-07-01 16:30:00,home,0.0
67,2023-07-01 16:45:00,home,0.0
68,2023-07-01 17:00:00,home,0.0
69,2023-07-01 17:15:00,home,0.0
70,2023-07-01 17:30:00,home,0.0
71,2023-07-01 17:45:00,home,0.0
72,2023-07-01 18:00:00,home,0.0
73,2023-07-01 18:15:00,home,0.0
74,2023-07-01 18:30:00,home,0.0
75,2023-07-01 18:45:00,home,0.0
76,2023-07-01 19:00:00,home,0.0
77,2023-07-01 19:15:00,home,0.0
78,2023-07-01 19:30:00,home,0.0
79,2023-07-01 19:45:00,home,0.0
80,2023-07-01 20:00:00,home,0.0
81,2023-07-01 20:15:00,home,0.0
82,2023-07-01 20:30:00,home,0.0
83,2023-07-01 20:45:00,home,0.0
84,2023-07-01 21:00:00,home,0.0
85,2023-07-01 21:15:00,home,0.0
86,2023-07-01 21:30:00,home,0.0
87,2023-07-01 21:45:00,home,0.0
88,2023-07-01 22:00:00,home,0.0
89,2023-07-01 22:15:00,home,0.0
90,2023-07-01 22:30:00,home,0.0
91,2023-07-01 22:45:00,home,0.0
92,2023-07-01 23:00:00,home,0.0
93,2023-07-01 23:15:00,home,0.0
94,2023-07-01 23:30:00,home,0.0
95,2023-07-01 23:45:00,home,0.0
96,2023-07-02 00:00:00,home,0.0
97,2023-07-02 00:15:00,home,0.0
98,2023-07-02 00:30:00,home,0.0
99,2023-07-02 00:45:00,home,0.0
100,2023-07-02 01:00:00,home,0.0
101,2023-07-02 01:15:00,home,0.0
102,2023-07-02 01:30:00,home,0.0
103,2023-07-02 01:45:00,home,0.0
104,2023-07-02 02:00:00,home,0.0
105,2023-07-02 02:15:00,home,0.0
106,2023-07-02 02:30:00,home,0.0
107,2023-07-02 02:45:00,home,0.0
108,2023-07-02 03:00:00,home,0.0
109,2023-07-02 03:15:00,home,0.0
110,2023-07-02 03:30:00,home,0.0
111,2023-07-02 03:45:00,home,0.0
112,2023-07-02 04:00:00,home,0.0
113,2023-07-02 04:15:00,home,0.0
114,2023-07-02 04:30:00,home,0.0
115,2023-07-02 04:45:00,home,0.0
116,2023-07-02 05:00:00,home,0.0
117,2023-07-02 05:15:00,home,0.0
118,2023-07-02 05:30:00,home,0.0
119,2023-07-02 05:45:00,home,0.0
120,2023-07-02 06:00:00,home,0.0
121,2023-07-02 06:15:00,home,0.0
122,2023-07-02 06:30:00,home,0.0
123,2023-07-02 06:45:00,home,0.0
124,2023-07-02 07:00:00,home,0.0
125,2023-07-02 07:15:00,home,0.0
126,2023-07-02 07:30:00,home,0.0
127,2023-07-02 07:45:00,home,0.0
128,2023-07-02 08:00:00,home,0.0
129,2023-07-02 08:15:00,home,0.0
130,2023-07-02 08:30:00,home,0.0
131,2023-07-02 08:45:00,home,0.0
132,2023-07-02 09:00:00,home,0.0
133,2023-07-02 09:15:00,home,0.0
134,2023-07-02 09:30:00,home,0.0
135,2023-07-02 09:45:00,home,0.0
136,2023-07-02 10:00:00,home,0.0
137,2023-07-02 10:15:00,home,0.0
138,2023-07-02 10:30:00,home,0.0
139,2023-07-02 10:45:00,home,0.0
140,2023-07-02 11:00:00,home,0.0
141,2023-07-02 11:15:00,home,0.0
142,2023-07-02 11:30:00,home,0.0
143,2023-07-02 11:45:00,home,0.0
144,2023-07-02 12:00:00,home,0.0
145,2023-07-02 12:15:00,home,0.0
146,2023-07-02 12:30:00,home,0.0
147,2023-07-02 12:45:00,home,0.0
148,2023-07-02 13:00:00,home,0.0
149,2023-07-02 13:15:00,home,0.0
150,2023-07-02 13:30:00,home,0.0
151,2023-07-02 13:45:00,home,0.0
152,2023-07-02 14:00:00,home,0.0
153,2023-07-02 14:15:00,home,0.0
154,2023-07-02 14:30:00,home,0.0
155,2023-07-02 14:45:00,home,0.0
156,2023-07-02 15:00:00,home,0.0
157,2023-07-02 15:15:00,home,0.0
158,2023-07-02 15:30:00,home,0.0
159,2023-07-02 15:45:00,home,0.0
160,2023-07-02 16:00:00,home,0.0
161,2023-07-02 16:15:00,home,0.0
162,2023-07-02 16:30:00,home,0.0
163,2023-07-02 16:45:00,home,0.0
164,2023-07-02 17:00:00,home,0.0
165,2023-07-02 17:15:00,home,0.0
166,2023-07-02 17:30:00,home,0.0
167,2023-07-02 17:45:00,home,0.0
168,2023-07-02 18:00:00,home,0.0
169,2023-07-02 18:15:00,home,0.0
170,2023-07-02 18:30:00,home,0.0
171,2023-07-02 18:45:00,home,0.0
172,2023-07-02 19:00:00,home,0.0
173,2023-07-02 19:15:00,home,0.0
174,2023-07-02 19:30:00,home,0.0
175,2023-07-02 19:45:00,home,0.0
176,2023-07-02 20:00:00,home,0.0
177,2023-07-02 20:15:00,home,0.0
178,2023-07-02 20:30:00,home,0.0
179,2023-07-02 20:45:00,home,0.0
180,2023-07-02 21:00:00,home,0.0
181,2023-07-02 21:15:00,home,0.0
182,2023-07-02 21:30:00,home,0.0
183,2023-07-02 21:45:00,home,0.0
184,2023-07-02 22:00:00,home,0.0
185,2023-07-02 22:15:00,home,0.0
186,2023-07-02 22:30:00,home,0.0
187,2023-07-02 22:45:00,home,0.0
188,2023-07-02 23:00:00,home,0.0
189,2023-07-02 23:15:00,home,0.0
190,2023-07-02 23:30:00,home,0.0
191,2023-07-02 23:45:00,home,0.0
192,2023-07-03 00:00:00,home,0.0
193,2023-07-03 00:15:00,home,0.0
194,2023-07-03 00:30:00,home,0.0
195,2023-07-03 00:45:00,home,0.0
196,2023-07-03 01:00:00,home,0.0
197,2023-07-03 01:15:00,home,0.0
198,2023-07-03 01:30:00,home,0.0
199,2023-07-03 01:45:00,home,0.0
200,2023-07-03 02:00:00,home,0.0
201,2023-07-03 02:15:00,home,0.0
202,2023-07-03 02:30:00,home,0.0
203,2023-07-03 02:45:00,home,0.0
204,2023-07-03 03:00:00,home,0.0
205,2023-07-03 03:15:00,home,0.0
206,2023-07-03 03:30:00,home,0.0
207,2023-07-03 03:45:00,home,0.0
208,2023-07-03 04:00:00,home,0.0
209,2023-07-03 04:15:00,home,0.0
210,2023-07-03 04:30:00,home,0.0
211,2023-07-03 04:45:00,home,0.0
212,2023-07-03 05:00:00,home,0.0
213,2023-07-03 05:15:00,home,0.0
214,2023-07-03 05:30:00,driving,0.834871967481768
215,2023-07-03 05:45:00,workplace,0.0
216,2023-07-03 06:00:00,workplace,0.0
217,2023-07-03 06:15:00,workplace,0.0
218,2023-07-03 06:30:00,workplace,0.0
219,2023-07-03 06:45:00,workplace,0.0
220,2023-07-03 07:00:00,workplace,0.0
221,2023-07-03 07:15:00,workplace,0.0
222,2023-07-03 07:30:00,workplace,0.0
223,2023-07-03 07:45:00,workplace,0.0
224,2023-07-03 08:00:00,workplace,0.0
225,2023-07-03 08:15:00,workplace,0.0
226,2023-07-03 08:30:00,workplace,0.0
227,2023-07-03 08:45:00,workplace,0.0
228,2023-07-03 09:00:00,workplace,0.0
229,2023-07-03 09:15:00,workplace,0.0
230,2023-07-03 09:30:00,workplace,0.0
231,2023-07-03 09:45:00,workplace,0.0
232,2023-07-03 10:00:00,workplace,0.0
233,2023-07-03 10:15:00,workplace,0.0
234,2023-07-03 10:30:00,workplace,0.0
235,2023-07-03 10:45:00,workplace,0.0
236,2023-07-03 11:00:00,workplace,0.0
237,2023-07-03 11:15:00,workplace,0.0
238,2023-07-03 11:30:00,workplace,0.0
239,2023-07-03 11:45:00,workplace,0.0
240,2023-07-03 12:00:00,workplace,0.0
241,2023-07-03 12:15:00,workplace,0.0
242,2023-07-03 12:30:00,workplace,0.0
243,2023-07-03 12:45:00,workplace,0.0
244,2023-07-03 13:00:00,workplace,0.0
245,2023-07-03 13:15:00,workplace,0.0
246,2023-07-03 13:30:00,workplace,0.0
247,2023-07-03 13:45:00,workplace,0.0
248,2023-07-03 14:00:00,workplace,0.0
249,2023-07-03 14:15:00,workplace,0.0
250,2023-07-03 14:30:00,driving,0.7401134465483599
251,2023-07-03 14:45:00,driving,0.7401134465483599
252,2023-07-03 15:00:00,home,0.0
253,2023-07-03 15:15:00,home,0.0
254,2023-07-03 15:30:00,home,0.0
255,2023-07-03 15:45:00,home,0.0
256,2023-07-03 16:00:00,home,0.0
257,2023-07-03 16:15:00,home,0.0
258,2023-07-03 16:30:00,home,0.0
259,2023-07-03 16:45:00,home,0.0
260,2023-07-03 17:00:00,home,0.0
261,2023-07-03 17:15:00,home,0.0
262,2023-07-03 17:30:00,home,0.0
263,2023-07-03 17:45:00,home,0.0
264,2023-07-03 18:00:00,home,0.0
265,2023-07-03 18:15:00,home,0.0
266,2023-07-03 18:30:00,home,0.0
267,2023-07-03 18:45:00,home,0.0
268,2023-07-03 19:00:00,home,0.0
269,2023-07-03 19:15:00,home,0.0
270,2023-07-03 19:30:00,home,0.0
271,2023-07-03 19:45:00,home,0.0
272,2023-07-03 20:00:00,home,0.0
273,2023-07-03 20:15:00,home,0.0
274,2023-07-03 20:30:00,home,0.0
275,2023-07-03 20:45:00,home,0.0
276,2023-07-03 21:00:00,home,0.0
277,2023-07-03 21:15:00,home,0.0
278,2023-07-03 21:30:00,home,0.0
279,2023-07-03 21:45:00,home,0.0
280,2023-07-03 22:00:00,home,0.0
281,2023-07-03 22:15:00,home,0.0
282,2023-07-03 22:30:00,home,0.0
283,2023-07-03 22:45:00,home,0.0
284,2023-07-03 23:00:00,home,0.0
285,2023-07-03 23:15:00,home,0.0
286,2023-07-03 23:30:00,home,0.0
287,2023-07-03 23:45:00,home,0.0
288,2023-07-04 00:00:00,home,0.0
289,2023-07-04 00:15:00,home,0.0
290,2023-07-04 00:30:00,home,0.0
291,2023-07-04 00:45:00,home,0.0
292,2023-07-04 01:00:00,home,0.0
293,2023-07-04 01:15:00,home,0.0
294,2023-07-04 01:30:00,home,0.0
295,2023-07-04 01:45:00,home,0.0
296,2023-07-04 02:00:00,home,0.0
297,2023-07-04 02:15:00,home,0.0
298,2023-07-04 02:30:00,home,0.0
299,2023-07-04 02:45:00,home,0.0
300,2023-07-04 03:00:00,home,0.0
301,2023-07-04 03:15:00,home,0.0
302,2023-07-04 03:30:00,home,0.0
303,2023-07-04 03:45:00,home,0.0
304,2023-07-04 04:00:00,home,0.0
305,2023-07-04 04:15:00,home,0.0
306,2023-07-04 04:30:00,home,0.0
307,2023-07-04 04:45:00,home,0.0
308,2023-07-04 05:00:00,home,0.0
309,2023-07-04 05:15:00,home,0.0
310,2023-07-04 05:30:00,home,0.0
311,2023-07-04 05:45:00,home,0.0
312,2023-07-04 06:00:00,home,0.0
313,2023-07-04 06:15:00,home,0.0
314,2023-07-04 06:30:00,home,0.0
315,2023-07-04 06:45:00,home,0.0
316,2023-07-04 07:00:00,home,0.0
317,2023-07-04 07:15:00,home,0.0
318,2023-07-04 07:30:00,home,0.0
319,2023-07-04 07:45:00,home,0.0
320,2023-07-04 08:00:00,home,0.0
321,2023-07-04 08:15:00,home,0.0
322,2023-07-04 08:30:00,home,0.0
323,2023-07-04 08:45:00,home,0.0
324,2023-07-04 09:00:00,home,0.0
325,2023-07-04 09:15:00,home,0.0
326,2023-07-04 09:30:00,home,0.0
327,2023-07-04 09:45:00,home,0.0
328,2023-07-04 10:00:00,home,0.0
329,2023-07-04 10:15:00,home,0.0
330,2023-07-04 10:30:00,home,0.0
331,2023-07-04 10:45:00,home,0.0
332,2023-07-04 11:00:00,home,0.0
333,2023-07-04 11:15:00,home,0.0
334,2023-07-04 11:30:00,home,0.0
335,2023-07-04 11:45:00,home,0.0
336,2023-07-04 12:00:00,home,0.0
337,2023-07-04 12:15:00,home,0.0
